FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE_DAYS,AGE
Misha Cirkunov,75.0,205.0,77.0,Orthodox,1987-02-27,http://ufcstats.com/fighter-details/67f272324a030d00,True,13739.0,37
Laverne Clark,71.0,170.0,,Orthodox,1973-12-02,http://ufcstats.com/fighter-details/1c2f2571b18791b6,True,18574.0,50
Logan Clark,74.0,185.0,,Orthodox,1985-02-16,http://ufcstats.com/fighter-details/6776260cb0aef647,True,14480.0,39
Heather Clark,66.0,115.0,64.0,Orthodox,1980-09-19,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9,True,16091.0,44
Devin Clark,72.0,205.0,75.0,Orthodox,1990-04-12,http://ufcstats.com/fighter-details/cc7040fe76f0ef91,True,12599.0,34
Jessica-Rose Clark,65.0,135.0,64.0,Orthodox,1987-11-28,http://ufcstats.com/fighter-details/6c8072b61c276e67,True,13465.0,36
Mitch Clarke,70.0,155.0,73.0,Orthodox,1985-11-24,http://ufcstats.com/fighter-details/c76ec2bc3a57666a,True,14199.0,38
Rich Clementi,69.0,155.0,72.0,Southpaw,1976-03-31,http://ufcstats.com/fighter-details/7d21de9c6d7c98b2,True,17724.0,48
Chris Clements,70.0,170.0,70.0,Orthodox,1976-02-09,http://ufcstats.com/fighter-details/e5ecaf884b6da2bc,True,17775.0,48
Josh Clopton,66.0,145.0,,Orthodox,1981-07-11,http://ufcstats.com/fighter-details/48e96d9cea6d4ab0,True,15796.0,43
Brian Cobb,71.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/3138fab619faf4d1,True,,0
John Cofer,69.0,155.0,,Southpaw,1984-04-29,http://ufcstats.com/fighter-details/8b260672a21d1fd6,True,14773.0,40
Felipe Colares,68.0,145.0,69.0,Orthodox,1994-03-31,http://ufcstats.com/fighter-details/dbac0a413af64bbe,True,11150.0,30
Mark Coleman,73.0,205.0,75.0,Orthodox,1964-12-20,http://ufcstats.com/fighter-details/21b8a0f5c231096f,True,21843.0,59
Clay Collard,71.0,145.0,73.0,Orthodox,1993-03-10,http://ufcstats.com/fighter-details/cc900c6a71ed23f3,True,11536.0,31
Jake Collier,75.0,230.0,78.0,Orthodox,1988-10-25,http://ufcstats.com/fighter-details/92fa1401b7927da3,True,13133.0,35
Christian Colombo,77.0,265.0,,Orthodox,1980-07-01,http://ufcstats.com/fighter-details/9123c54d0a2b72dd,True,16171.0,44
Wes Combs,74.0,205.0,,Orthodox,1973-06-18,http://ufcstats.com/fighter-details/a85998eb79650b2c,True,18741.0,51
Carlos Condit,74.0,170.0,75.0,Orthodox,1984-04-26,http://ufcstats.com/fighter-details/f9f07bb5a43535ed,True,14776.0,40
Chris Condo,72.0,335.0,,Orthodox,,http://ufcstats.com/fighter-details/41e77dc504a192c6,True,,0
Tristan Connelly,70.0,145.0,68.0,Orthodox,1985-12-12,http://ufcstats.com/fighter-details/2ebfbe72ed703925,True,14181.0,38
Bob Cook,69.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/1c061eb6e29eaa0a,True,,0
Amanda Cooper,63.0,115.0,64.0,Switch,1991-10-22,http://ufcstats.com/fighter-details/d4a31850a7457f1b,True,12041.0,32
Kit Cope,72.0,170.0,,Orthodox,1977-03-17,http://ufcstats.com/fighter-details/ce47f49e5c386a9c,True,17373.0,47
Chris Cope,72.0,170.0,72.0,Orthodox,1983-03-05,http://ufcstats.com/fighter-details/8c8c92a12621d7e0,True,15194.0,41
Josh Copeland,73.0,265.0,,Orthodox,1982-10-20,http://ufcstats.com/fighter-details/3aa794cbe1e3484b,True,15330.0,41
Akira Corassani,68.0,145.0,68.0,Orthodox,1982-08-27,http://ufcstats.com/fighter-details/3f52ce18fb98008f,True,15384.0,42
Daniel Cormier,71.0,235.0,72.0,Orthodox,1979-03-20,http://ufcstats.com/fighter-details/d967f0128c323de6,True,16640.0,45
Nora Cornolle,67.0,135.0,67.0,Orthodox,1989-12-06,http://ufcstats.com/fighter-details/f2b3f4ef3f780168,True,12726.0,34
Bethe Correia,65.0,135.0,64.0,Orthodox,1983-06-22,http://ufcstats.com/fighter-details/673ea7dcc786b1b3,True,15085.0,41
Wesley Correira,75.0,260.0,,Orthodox,1978-11-11,http://ufcstats.com/fighter-details/4e9fb05d7e5e61b8,True,16769.0,45
Waldo Cortes-Acosta,76.0,260.0,78.0,Orthodox,1991-10-03,http://ufcstats.com/fighter-details/fc08099550072fe4,True,12060.0,33
Tracy Cortez,65.0,125.0,65.0,Orthodox,1993-12-10,http://ufcstats.com/fighter-details/68d4a891e5cf2029,True,11261.0,30
Louis Cosce,69.0,170.0,71.0,Orthodox,1995-08-27,http://ufcstats.com/fighter-details/afe8d5b39ff7fca2,True,10636.0,29
Orion Cosce,71.0,170.0,71.0,Switch,1994-07-15,http://ufcstats.com/fighter-details/2c010b26a3306969,True,11044.0,30
Paulo Costa,73.0,185.0,72.0,Orthodox,1991-04-21,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,True,12225.0,33
Randy Costa,69.0,135.0,73.0,Switch,1994-07-06,http://ufcstats.com/fighter-details/325ad0dd9126d3df,True,11053.0,30
Alessandro Costa,64.0,125.0,67.0,Orthodox,1996-01-28,http://ufcstats.com/fighter-details/3fa97913cfd205d3,True,10482.0,28
Melquizael Costa,70.0,145.0,71.0,Southpaw,1996-09-14,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,True,10252.0,28
Patrick Cote,71.0,170.0,75.0,Orthodox,1980-02-29,http://ufcstats.com/fighter-details/9fa3bd637edd9aa2,True,16294.0,44
JC Cottrell,69.0,155.0,,Orthodox,1989-11-04,http://ufcstats.com/fighter-details/3ec1e4ba98c9c85a,True,12758.0,34
Rashad Coulter,71.0,205.0,76.0,Orthodox,1981-11-27,http://ufcstats.com/fighter-details/d1528ac5675558b1,True,15657.0,42
Randy Couture,73.0,205.0,75.0,Orthodox,1963-06-22,http://ufcstats.com/fighter-details/0aa92558424ced9e,True,22390.0,61
Ryan Couture,70.0,155.0,73.0,Orthodox,1982-08-27,http://ufcstats.com/fighter-details/46fd223e3ced39b3,True,15384.0,42
Colby Covington,71.0,170.0,72.0,Orthodox,1988-02-22,http://ufcstats.com/fighter-details/dc9572dd6ec74859,True,13379.0,36
Hailey Cowan,68.0,135.0,67.0,Southpaw,1992-02-12,http://ufcstats.com/fighter-details/3c26c420584d912d,True,11928.0,32
Jeff Cox,70.0,155.0,,Orthodox,1968-08-02,http://ufcstats.com/fighter-details/c9bbf1a0285a8076,True,20522.0,56
Nathan Coy,70.0,170.0,69.0,Southpaw,1978-07-24,http://ufcstats.com/fighter-details/15ec018d144710db,True,16879.0,46
Andrew Craig,73.0,170.0,76.0,Orthodox,1986-01-15,http://ufcstats.com/fighter-details/8a70ceb3edbe757b,True,14147.0,38
Paul Craig,75.0,185.0,76.0,Orthodox,1987-11-27,http://ufcstats.com/fighter-details/eabf206b162b3b83,True,13466.0,36
Dan Cramer,74.0,170.0,,Orthodox,1985-10-31,http://ufcstats.com/fighter-details/480b702debcb5433,True,14223.0,38
Alberto Crane,65.0,155.0,,Orthodox,1976-07-14,http://ufcstats.com/fighter-details/25433871e4eee0f4,True,17619.0,48
Tim Credeur,75.0,185.0,75.0,Orthodox,1977-07-09,http://ufcstats.com/fighter-details/89b8d1bf1ff09d1d,True,17259.0,47
Paul Creighton,66.0,155.0,,Southpaw,1970-06-04,http://ufcstats.com/fighter-details/ed73c85164a5f5a4,True,19851.0,54
Kevin Croom,71.0,135.0,73.0,Orthodox,1987-07-15,http://ufcstats.com/fighter-details/35b3772629e27a49,True,13601.0,37
Kiefer Crosbie,71.0,170.0,70.0,Switch,1990-04-05,http://ufcstats.com/fighter-details/4729c93ba705a3bf,True,12606.0,34
Allen Crowder,75.0,245.0,76.0,Orthodox,1989-11-08,http://ufcstats.com/fighter-details/a9d6e047ce48ab63,True,12754.0,34
Daron Cruickshank,68.0,155.0,72.0,Switch,1985-06-11,http://ufcstats.com/fighter-details/5f99b2bafb10305f,True,14365.0,39
Richard Crunkilton,67.0,155.0,,Orthodox,1979-11-25,http://ufcstats.com/fighter-details/22ee260735da0d58,True,16390.0,44
Jimmy Crute,74.0,205.0,74.0,Orthodox,1996-03-04,http://ufcstats.com/fighter-details/70e1f8a821b72c8b,True,10446.0,28
Marcio Cruz,76.0,232.0,,Orthodox,1978-04-24,http://ufcstats.com/fighter-details/6aa1cbc1466e9a0b,True,16970.0,46
Dominick Cruz,68.0,135.0,68.0,Orthodox,1985-03-09,http://ufcstats.com/fighter-details/10f3ba6cd2f44a97,True,14459.0,39
Aalon Cruz,72.0,145.0,78.0,Switch,1989-09-20,http://ufcstats.com/fighter-details/003d82fa384ca1d0,True,12803.0,35
Timmy Cuamba,69.0,145.0,71.0,Orthodox,1999-02-08,http://ufcstats.com/fighter-details/0e46690e55a8df75,True,9375.0,25
Jay Cucciniello,67.0,155.0,,Orthodox,1986-07-23,http://ufcstats.com/fighter-details/683ea28a198936fe,True,13958.0,38
Josh Culibao,70.0,145.0,73.0,Orthodox,1994-05-24,http://ufcstats.com/fighter-details/6751eacd16bd59bc,True,11096.0,30
Zak Cummings,72.0,205.0,75.0,Southpaw,1984-08-02,http://ufcstats.com/fighter-details/4ba8d454f762005d,True,14678.0,40
Patrick Cummins,74.0,205.0,76.0,Orthodox,1980-11-16,http://ufcstats.com/fighter-details/e51e5cb722bd47a8,True,16033.0,43
Luke Cummo,72.0,170.0,74.0,Orthodox,1980-04-27,http://ufcstats.com/fighter-details/93ce4ac89e3d7652,True,16236.0,44
AJ Cunningham,70.0,145.0,71.0,Orthodox,1994-09-07,http://ufcstats.com/fighter-details/d1053e55f00e53fe,True,10990.0,30
Larry Cureton,74.0,240.0,,Orthodox,,http://ufcstats.com/fighter-details/46f11d15c0134fe3,True,,0
Jeff Curran,66.0,135.0,69.0,Orthodox,1977-09-02,http://ufcstats.com/fighter-details/a8ea84cbe1655f0a,True,17204.0,47
Kailin Curran,64.0,115.0,65.0,Orthodox,1991-04-11,http://ufcstats.com/fighter-details/05b43e0ead3df345,True,12235.0,33
Chris Curtis,70.0,185.0,75.0,Orthodox,1987-07-15,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,True,13601.0,37
Ion Cutelaba,73.0,205.0,75.0,Southpaw,1993-12-14,http://ufcstats.com/fighter-details/cd13728ae1151f46,True,11257.0,30
Henrique da Silva,75.0,205.0,76.0,Orthodox,1989-09-01,http://ufcstats.com/fighter-details/b0bd0c5425668b8f,True,12822.0,35
Ariane da Silva,66.0,125.0,67.0,Orthodox,1994-01-26,http://ufcstats.com/fighter-details/6551c64fbcd1a467,True,11214.0,30
Alex Da Silva,68.0,155.0,73.0,Orthodox,1996-02-04,http://ufcstats.com/fighter-details/c3ded6f7155f9ea4,True,10475.0,28
Nicolas Dalby,71.0,170.0,74.0,Orthodox,1984-11-16,http://ufcstats.com/fighter-details/9d19d9e4aa2662e8,True,14572.0,39
Paul Daley,69.0,170.0,76.0,Orthodox,1983-02-21,http://ufcstats.com/fighter-details/23725c826c481e7f,True,15206.0,41
Aisling Daly,62.0,115.0,64.0,Orthodox,1987-12-24,http://ufcstats.com/fighter-details/e50cd77732d39967,True,13439.0,36
Rodrigo Damm,67.0,155.0,71.0,Orthodox,1980-02-03,http://ufcstats.com/fighter-details/a20d7dfaba74c067,True,16320.0,44
Batgerel Danaa,67.0,135.0,70.0,Orthodox,1989-07-04,http://ufcstats.com/fighter-details/3b0a516d2921e0d6,True,12881.0,35
Cindy Dandois,67.0,135.0,,Orthodox,1984-10-26,http://ufcstats.com/fighter-details/9eef6584fab21fbb,True,14593.0,39
Jarjis Danho,75.0,265.0,74.0,Orthodox,1983-10-15,http://ufcstats.com/fighter-details/8614b7134913f5d5,True,14970.0,40
Alexandre Dantas,74.0,238.0,,Orthodox,1979-03-01,http://ufcstats.com/fighter-details/8dc46e9a7895ce1a,True,16659.0,45
Mac Danzig,68.0,155.0,70.0,Orthodox,1980-01-02,http://ufcstats.com/fighter-details/86f582852a5b240a,True,16352.0,44
Beneil Dariush,70.0,155.0,72.0,Southpaw,1989-05-06,http://ufcstats.com/fighter-details/08af939f41b5a57b,True,12940.0,35
Sean Daugherty,72.0,175.0,,,1975-12-04,http://ufcstats.com/fighter-details/a683f9ddb70aa4bd,True,17842.0,48
Kyle Daukaus,75.0,185.0,76.0,Southpaw,1993-02-27,http://ufcstats.com/fighter-details/d6c0cdd7e467c440,True,11547.0,31
Chris Daukaus,75.0,205.0,76.0,Orthodox,1989-09-25,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45,True,12798.0,35
Rick Davis,69.0,155.0,,Orthodox,,http://ufcstats.com/fighter-details/2549d63da9c456cb,True,,0
Marcus Davis,70.0,170.0,70.0,Southpaw,1973-08-24,http://ufcstats.com/fighter-details/b7d524c77c27389b,True,18674.0,51
Phil Davis,74.0,205.0,79.0,Orthodox,1984-09-25,http://ufcstats.com/fighter-details/902ab9197b83d0db,True,14624.0,40
Alexis Davis,66.0,135.0,68.0,Orthodox,1984-10-04,http://ufcstats.com/fighter-details/4c2d90e335e6df19,True,14615.0,40
Brandon Davis,70.0,135.0,72.0,Orthodox,1990-05-08,http://ufcstats.com/fighter-details/cc351e408bbb7d43,True,12573.0,34
Mike Davis,72.0,155.0,72.0,Orthodox,1992-10-07,http://ufcstats.com/fighter-details/fb3e61720be4690c,True,11690.0,32
Hakeem Dawodu,68.0,145.0,73.0,Orthodox,1991-07-02,http://ufcstats.com/fighter-details/2c9d00968f818270,True,12153.0,33
Grant Dawson,70.0,155.0,72.0,Switch,1994-02-20,http://ufcstats.com/fighter-details/99bd51917728c25d,True,11189.0,30
Jason Day,72.0,185.0,72.0,Orthodox,1981-05-19,http://ufcstats.com/fighter-details/a6fd2173d5e2d7f0,True,15849.0,43
Martin Day,70.0,145.0,73.0,Orthodox,1988-11-10,http://ufcstats.com/fighter-details/ea3dcc417c322064,True,13117.0,35
Yorgan De Castro,72.0,250.0,74.0,Orthodox,1986-12-19,http://ufcstats.com/fighter-details/1eff7bc0f815b270,True,13809.0,37
Geraldo de Freitas,67.0,135.0,72.0,Orthodox,1991-09-30,http://ufcstats.com/fighter-details/9cfbfae5fa1fdd93,True,12063.0,33
Philip De Fries,77.0,250.0,79.0,Orthodox,1986-04-21,http://ufcstats.com/fighter-details/6ef65b6a152e49d5,True,14051.0,38
Chris de la Rocha,75.0,250.0,80.0,Orthodox,1979-05-15,http://ufcstats.com/fighter-details/e51ee8ded927fc51,True,16584.0,45
Montana De La Rosa,67.0,125.0,68.0,Orthodox,1995-02-14,http://ufcstats.com/fighter-details/80d8aed0ca9b00f3,True,10830.0,29
Mark De La Rosa,66.0,135.0,65.0,Orthodox,1994-08-31,http://ufcstats.com/fighter-details/f57dd0bfa8c17813,True,10997.0,30
Mike de la Torre,71.0,145.0,71.0,Orthodox,1986-09-22,http://ufcstats.com/fighter-details/1971869b7e054261,True,13897.0,38
Rodrigo de Lima,67.0,155.0,,Orthodox,1991-03-12,http://ufcstats.com/fighter-details/a4dc47001f202bcd,True,12265.0,33
Edilberto de Oliveira,72.0,170.0,,Orthodox,1982-11-22,http://ufcstats.com/fighter-details/afdb76fbd86f6d11,True,15297.0,41
Jorge de Oliveira,68.0,155.0,,Orthodox,1980-01-22,http://ufcstats.com/fighter-details/ddf3e0ea10ea6d8c,True,16332.0,44
Isabela de Padua,63.0,125.0,64.0,Orthodox,1991-09-04,http://ufcstats.com/fighter-details/e0f959f65d0406b4,True,12089.0,33
Gloria de Paula,65.0,115.0,67.0,Orthodox,1995-06-10,http://ufcstats.com/fighter-details/5dd180c8b3196786,True,10714.0,29
Germaine de Randamie,69.0,135.0,71.0,Orthodox,1984-04-24,http://ufcstats.com/fighter-details/1d239d571e342453,True,14778.0,40
Carl Deaton,67.0,155.0,69.0,Orthodox,1989-11-24,http://ufcstats.com/fighter-details/914a897455693650,True,12738.0,34
Tom DeBlass,72.0,185.0,,Orthodox,1982-05-14,http://ufcstats.com/fighter-details/0bcfe2513cb3bc39,True,15489.0,42
Shane del Rosario,76.0,250.0,,Southpaw,1983-09-23,http://ufcstats.com/fighter-details/85980f5da429c0a6,True,14992.0,41
Rolando Delgado,75.0,155.0,77.0,Orthodox,1981-11-22,http://ufcstats.com/fighter-details/37b1696e6d115957,True,15662.0,42
Jack Della Maddalena,71.0,170.0,73.0,Switch,1996-09-10,http://ufcstats.com/fighter-details/6b453bc35a823c3f,True,10256.0,28
Roland Delorme,69.0,135.0,71.0,Orthodox,1983-12-18,http://ufcstats.com/fighter-details/173acb3f920082b8,True,14906.0,40
Jon Delos Reyes,66.0,125.0,67.0,Orthodox,1987-08-19,http://ufcstats.com/fighter-details/0d0351c20169a499,True,13566.0,37
Jason DeLucia,71.0,190.0,,Southpaw,1969-07-24,http://ufcstats.com/fighter-details/6ceff86fae4f6b3b,True,20166.0,55
Vanessa Demopoulos,62.0,115.0,59.0,Orthodox,1988-09-22,http://ufcstats.com/fighter-details/2c483cf443f38ece,True,13166.0,36
Chris Dempsey,70.0,185.0,72.0,Orthodox,1987-09-08,http://ufcstats.com/fighter-details/dfae5da5676e4194,True,13546.0,37
Nick Denis,67.0,135.0,,Orthodox,1983-10-11,http://ufcstats.com/fighter-details/e4aaaa34535e32b6,True,14974.0,40
Jason Dent,70.0,155.0,71.0,Orthodox,1980-06-12,http://ufcstats.com/fighter-details/fa8b9e6b0c2269f8,True,16190.0,44
Mackenzie Dern,64.0,115.0,63.0,Orthodox,1993-03-24,http://ufcstats.com/fighter-details/7447e9f28508106a,True,11522.0,31
Tony DeSouza,72.0,170.0,70.0,Southpaw,1974-07-26,http://ufcstats.com/fighter-details/6ad9058b7c7898b0,True,18338.0,50
Robelis Despaigne,79.0,265.0,84.0,Orthodox,1988-09-09,http://ufcstats.com/fighter-details/140567899d98978a,True,13179.0,36
Edwin DeWees,73.0,185.0,,Orthodox,1982-08-07,http://ufcstats.com/fighter-details/75bbd2206a15319f,True,15404.0,42
Alessio Di Chirico,72.0,185.0,74.0,Orthodox,1989-12-12,http://ufcstats.com/fighter-details/77d7295d1b22c694,True,12720.0,34
Cyrille Diabate,78.0,205.0,81.0,Southpaw,1973-10-06,http://ufcstats.com/fighter-details/43563a32c3f10e95,True,18631.0,51
Marc Diakiese,70.0,155.0,73.0,Orthodox,1993-03-16,http://ufcstats.com/fighter-details/32c355b04fc57f3a,True,11530.0,31
Tyler Diamond,67.0,145.0,69.0,Orthodox,1991-03-18,http://ufcstats.com/fighter-details/f5f6419c5f00abad,True,12259.0,33
Blood Diamond,71.0,170.0,76.0,Switch,1988-07-10,http://ufcstats.com/fighter-details/9edf2c9082cc2cd8,True,13240.0,36
Hacran Dias,68.0,155.0,69.0,Orthodox,1984-06-16,http://ufcstats.com/fighter-details/ed209f6618c82e41,True,14725.0,40
Nick Diaz,73.0,170.0,76.0,Southpaw,1983-08-02,http://ufcstats.com/fighter-details/f57a8a52ca401ed9,True,15044.0,41
Nate Diaz,72.0,170.0,76.0,Southpaw,1985-04-16,http://ufcstats.com/fighter-details/8355922d564b152c,True,14421.0,39
TJ Dillashaw,66.0,135.0,67.0,Orthodox,1986-02-07,http://ufcstats.com/fighter-details/c849740a3ff51931,True,14124.0,38
Jhonata Diniz,76.0,254.0,79.0,Orthodox,1991-06-23,http://ufcstats.com/fighter-details/25f9a5f3e8a52618,True,12162.0,33
Russell Doane,67.0,135.0,70.0,Orthodox,1986-08-13,http://ufcstats.com/fighter-details/f50d95223751e6ca,True,13937.0,38
Drew Dober,68.0,155.0,70.0,Southpaw,1988-10-19,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,True,13139.0,35
Shana Dobson,66.0,125.0,69.0,Orthodox,1989-03-30,http://ufcstats.com/fighter-details/122ac9b816d8b71c,True,12977.0,35
AJ Dobson,73.0,185.0,76.0,Orthodox,1992-01-18,http://ufcstats.com/fighter-details/009c4420727149ea,True,11953.0,32
David Dodd,74.0,200.0,,Orthodox,1973-09-22,http://ufcstats.com/fighter-details/c2a7623f398d9bd7,True,18645.0,51
John Dodson,63.0,135.0,66.0,Orthodox,1984-09-26,http://ufcstats.com/fighter-details/99506df1af6c8b3b,True,14623.0,40
Joe Doerksen,72.0,185.0,75.0,Orthodox,1977-10-09,http://ufcstats.com/fighter-details/dbaaf42313af90fa,True,17167.0,47
Roman Dolidze,74.0,185.0,76.0,Orthodox,1988-07-15,http://ufcstats.com/fighter-details/327d5f279895110d,True,13235.0,36
Cameron Dollar,71.0,155.0,,Orthodox,1987-05-12,http://ufcstats.com/fighter-details/3bbcd63a016d9715,True,13665.0,37
CB Dollaway,74.0,185.0,76.0,Orthodox,1983-08-10,http://ufcstats.com/fighter-details/5d7bdab5e03e3216,True,15036.0,41
Cody Donovan,75.0,205.0,74.0,Orthodox,1981-02-20,http://ufcstats.com/fighter-details/7bc96507e4b38d3b,True,15937.0,43
Houston Dorr,73.0,210.0,,Orthodox,,http://ufcstats.com/fighter-details/312f47c3d2f83ffa,True,,0
Rafael Dos Anjos,68.0,170.0,70.0,Southpaw,1984-10-26,http://ufcstats.com/fighter-details/6a2f7c151031653d,True,14593.0,39
Junior Dos Santos,76.0,238.0,77.0,Orthodox,1984-01-30,http://ufcstats.com/fighter-details/63def5a5662a6917,True,14863.0,40
Antonio Dos Santos,70.0,185.0,,Orthodox,1988-07-21,http://ufcstats.com/fighter-details/81b8b3fb019dc69d,True,13229.0,36
Anderson Dos Santos,65.0,135.0,70.0,Orthodox,1985-07-24,http://ufcstats.com/fighter-details/bbc9ab95fa766493,True,14322.0,39
Rayanne dos Santos,62.0,115.0,62.0,Orthodox,1995-06-08,http://ufcstats.com/fighter-details/02bb48869eb7ac8f,True,10716.0,29
Felipe dos Santos,67.0,125.0,70.0,Orthodox,2000-09-11,http://ufcstats.com/fighter-details/5cdf5339728f580d,True,8794.0,24
Tiago dos Santos e Silva,69.0,145.0,70.0,Orthodox,1987-04-12,http://ufcstats.com/fighter-details/8ce87f7e3a9baed2,True,13695.0,37
John Dowdy,,,,,,http://ufcstats.com/fighter-details/e780ccc79a209985,True,,0
Danny Downes,72.0,155.0,72.0,Orthodox,1986-04-08,http://ufcstats.com/fighter-details/a66395395b5f1394,True,14064.0,38
Derek Downey,73.0,185.0,,Orthodox,1980-04-27,http://ufcstats.com/fighter-details/b05086131c6f5dc5,True,16236.0,44
Tomasz Drwal,73.0,205.0,76.0,Orthodox,1982-01-22,http://ufcstats.com/fighter-details/679a9054e2815943,True,15601.0,42
Robert Drysdale,75.0,205.0,,Orthodox,1981-10-05,http://ufcstats.com/fighter-details/d2a9be6bf2de624c,True,15710.0,43
Dricus Du Plessis,73.0,185.0,76.0,Switch,1994-01-14,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,True,11226.0,30
Hugo Duarte,72.0,240.0,,Orthodox,1968-08-09,http://ufcstats.com/fighter-details/706404da0775dcbc,True,20515.0,56
Emily Ducote,62.0,115.0,63.0,Orthodox,1994-01-01,http://ufcstats.com/fighter-details/02f8fedc18cbd26c,True,11239.0,30
Viktoriia Dudakova,65.0,115.0,67.0,Orthodox,1999-01-26,http://ufcstats.com/fighter-details/6c9b66b43663f2f7,True,9388.0,25
Milana Dudieva,63.0,135.0,,Orthodox,1989-08-04,http://ufcstats.com/fighter-details/072a10e85f7d4bff,True,12850.0,35
Todd Duffee,75.0,260.0,78.0,Orthodox,1985-12-06,http://ufcstats.com/fighter-details/bda04c573563cc2e,True,14187.0,38
Joe Duffy,70.0,155.0,73.0,Orthodox,1988-02-18,http://ufcstats.com/fighter-details/654ae722109a0d31,True,13383.0,36
Alexis Dufresne,69.0,135.0,,Orthodox,1990-08-31,http://ufcstats.com/fighter-details/4ae4049426e0161d,True,12458.0,34
Jessamyn Duke,71.0,135.0,73.0,Orthodox,1986-06-24,http://ufcstats.com/fighter-details/a7ddae0be8b78147,True,13987.0,38
Isaac Dulgarian,67.0,145.0,71.0,Orthodox,1996-07-04,http://ufcstats.com/fighter-details/a57cb948c4c70a47,True,10324.0,28
Kelly Dullanty,68.0,155.0,,Orthodox,1977-11-04,http://ufcstats.com/fighter-details/1a225f04aa6e0739,True,17141.0,46
Sedriques Dumas,74.0,185.0,79.0,Orthodox,1995-08-06,http://ufcstats.com/fighter-details/4e6738062d469256,True,10657.0,29
Norma Dumont,67.0,135.0,67.0,Orthodox,1990-10-01,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,True,12427.0,34
Chris Duncan,70.0,155.0,71.0,Orthodox,1993-05-10,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,True,11475.0,31
Christian Leroy Duncan,74.0,185.0,79.0,Switch,1995-07-24,http://ufcstats.com/fighter-details/a93f94c923c3a9cb,True,10670.0,29
Evan Dunham,70.0,155.0,70.0,Southpaw,1981-12-18,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6,True,15636.0,42
Tom Duquesnoy,67.0,135.0,68.0,Orthodox,1993-06-21,http://ufcstats.com/fighter-details/e979c76341f19b22,True,11433.0,31
Albert Duraev,71.0,185.0,75.0,Orthodox,1989-01-05,http://ufcstats.com/fighter-details/6b7c7460855dbbb9,True,13061.0,35
Reuben Duran,67.0,135.0,71.0,Orthodox,1983-07-02,http://ufcstats.com/fighter-details/4417980b3e798abf,True,15075.0,41
Cody Durden,67.0,125.0,67.0,Southpaw,1991-03-29,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,True,12248.0,33
Luiz Dutra,71.0,170.0,,Orthodox,1982-05-06,http://ufcstats.com/fighter-details/2153a7f8396a46cc,True,15497.0,42
Merab Dvalishvili,66.0,135.0,68.0,Orthodox,1991-01-10,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,True,12326.0,33
David Dvorak,65.0,125.0,68.0,Orthodox,1992-06-05,http://ufcstats.com/fighter-details/9ada30894bf04e19,True,11814.0,32
Matt Dwyer,76.0,170.0,76.0,Orthodox,1989-12-17,http://ufcstats.com/fighter-details/8f0d576beba1cfcd,True,12715.0,34
Rolando Dy,68.0,145.0,69.0,Orthodox,1990-08-11,http://ufcstats.com/fighter-details/55ed59d541f8b90c,True,12478.0,34
Ben Earwood,68.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/ee457ef1e1c326c1,True,,0
Cody East,75.0,245.0,,Orthodox,1988-06-29,http://ufcstats.com/fighter-details/5713c1d2fac539ac,True,13251.0,36
Marvin Eastman,69.0,185.0,73.0,Orthodox,1971-06-08,http://ufcstats.com/fighter-details/05866d8c3a321856,True,19482.0,53
Mike Easton,66.0,135.0,70.0,Southpaw,1984-01-25,http://ufcstats.com/fighter-details/bc7230f231701d66,True,14868.0,40
Brian Ebersole,72.0,170.0,73.0,Southpaw,1980-11-27,http://ufcstats.com/fighter-details/32ba186f4b0e3267,True,16022.0,43
Mark Eddiva,68.0,145.0,68.0,Orthodox,1986-02-16,http://ufcstats.com/fighter-details/40ff198adda94b9f,True,14115.0,38
Frankie Edgar,66.0,135.0,68.0,Orthodox,1981-10-16,http://ufcstats.com/fighter-details/f2688492b9a525a3,True,15699.0,42
Abdul-Kerim Edilov,74.0,205.0,,Orthodox,1991-11-25,http://ufcstats.com/fighter-details/37e03538c960bac6,True,12007.0,32
Johnny Eduardo,67.0,135.0,71.0,Orthodox,1978-08-03,http://ufcstats.com/fighter-details/528c24b99fbaab79,True,16869.0,46
Yves Edwards,69.0,155.0,73.0,Southpaw,1976-09-30,http://ufcstats.com/fighter-details/5f04e3d58d9ce982,True,17541.0,48
Justin Edwards,70.0,155.0,70.0,Orthodox,1983-01-26,http://ufcstats.com/fighter-details/e56daf7725a0b5ab,True,15232.0,41
